Uppgift Id;Rad;Beskrivning;Antal;Pris;Fortnox Artikel Id;Fortnox Kostnadsställe;Fortnox Projekt
14;1;Gullmyravägen 10: Kärltvätt Standard ;13;156,56;K100;;YCJ
15;1;Kyrkvägen 7: Kärltvätt Standard ;10;156,56;K100;;YCJ
16;1;Stationsgatan 28: Kärltvätt Standard ;13;156,56;K100;;YCJ
17;1;Lundavägen 12: Kärltvätt Standard ;11;156,56;K100;;YCJ
18;1;Ramsjövägen 10: Kärltvätt Standard ;10;156,56;K100;;YCJ
19;1;Ösbylundsvägen 1: Kärltvätt Standard ;7;156,56;K100;;YCJ
20;1;Ösbyvägen 12: Kärltvätt Standard ;9;156,56;K100;;YCJ
21;1;Dillners väg 14: Kärltvätt Standard ;11;156,56;K100;;YCJ
22;1;Grenadjärgatan 7: Kärltvätt Standard ;8;156,56;K100;;YCJ
23;1;Torgvägen 14: Kärltvätt Standard ;10;156,56;K100;;YCJ
24;1;Skogsgårdsvägen 6: Kärltvätt Standard ;3;156,56;K100;;YCJ
25;1;Västerleden 155: Kärltvätt Standard ;8;156,56;K100;;YCJ
266;1;Johannesbäcksgatan 69: Miljörum Small ;1;1106;K100;;ADO
267;1;Johannesbäcksgatan 69: Kärltvätt Standard ;2;148;K100;;ADO
268;1;Trädgårdsgatan 15: Miljörum Large ;1;1106;K100;;ADO
269;1;Trädgårdsgatan 15: Kärltvätt Standard ;16;148;K100;;ADO
270;1;Södergatan 9A: Miljörum Small ;1;1106;K100;;ADO
271;1;Södergatan 9B: Miljörum Small ;1;1106;K100;;ADO
272;1;Södergatan 9A: Kärltvätt Standard ;2;148;K100;;ADO
273;1;Södergatan 9B: Kärltvätt Standard ;4;148;K100;;ADO
274;1;Södergatan 38: Miljörum Small ;1;1106;K100;;ADO
275;1;Södergatan 38: Miljörum Small ;1;1106;K100;;ADO
276;1;Södergatan 38: Kärltvätt Standard ;3;148;K100;;ADO
277;1;Södergatan 38: Kärltvätt Standard ;3;148;K100;;ADO
278;1;Södergatan 36: Miljörum Small ;1;1106;K100;;ADO
279;1;Södergatan 36: Kärltvätt Standard ;3;148;K100;;ADO
282;1;Södergatan 22: Miljörum Small ;1;1106;K100;;ADO
283;1;Södergatan 22: Kärltvätt Standard ;5;148;K100;;ADO
284;1;Södergatan 18B: Miljörum Medium ;1;1106;K100;;ADO
285;1;Södergatan 18B: Kärltvätt Standard ;6;148;K100;;ADO
286;1;Södergatan 17B: Miljörum Medium ;1;1106;K100;;ADO
287;1;Södergatan 17B: Kärltvätt Standard ;5;148;K100;;ADO
288;1;Södergatan 16B: Miljörum Medium ;1;1106;K100;;ADO
289;1;Södergatan 16B: Kärltvätt Standard ;5;148;K100;;ADO
290;1;Södergatan 15A: Miljörum Medium ;1;1106;K100;;ADO
291;1;Södergatan 15A: Kärltvätt Standard ;4;148;K100;;ADO
292;1;Södergatan 13B: Miljörum Small ;1;1106;K100;;ADO
293;1;Södergatan 13B: Kärltvätt Standard ;5;148;K100;;ADO
294;1;Södergatan 11B: Miljörum Small ;1;1106;K100;;ADO
295;1;Södergatan 11B: Kärltvätt Standard ;4;148;K100;;ADO
354;1;Rålambsvägen 28D: Kärltvätt Standard ;10;285;K100;;YCJ
368;1;Kristinelundsvägen 10: Kärltvätt Standard ;4;156,56;K100;;YCJ
369;1;Klockarvägen 2: Kärltvätt Standard ;13;156,56;K100;;YCJ
370;1;Skolgatan 3: Kärltvätt Standard ;10;156,56;K100;;YCJ
371;1;Skolgatan 7: Kärltvätt Standard ;23;156,56;K100;;YCJ
372;1;Stationsvägen 13: Kärltvätt Standard ;9;156,56;K100;;YCJ
373;1;Ramsjövägen 10: Kärltvätt Standard ;10;156,56;K100;;YCJ
374;1;Returvägen 20: Kärltvätt Standard ;60;156,56;K100;;YCJ
375;1;Ankargatan 15-19: Kärltvätt Standard ;3;156,56;K100;;YCJ
376;1;Ankargatan 5-7: Kärltvätt Standard ;3;156,56;K100;;YCJ
377;1;Ankargatan 9-11: Kärltvätt Standard ;12;156,56;K100;;YCJ
378;1;Fogdegatan 1-3: Kärltvätt Standard ;11;156,56;K100;;YCJ
379;1;Ringduvegatan 101-151: Kärltvätt Standard ;12;156,56;K100;;YCJ
380;1;Oxbacksgatan 3: Kärltvätt Standard ;11;156,56;K100;;YCJ
381;1;Jakobsbergsgatan 10: Kärltvätt Standard ;6;156,56;K100;;YCJ
382;1;Oxbacksgatan 5: Kärltvätt Standard ;4;156,56;K100;;YCJ
383;1;Skultunavägen 5: Kärltvätt Standard ;6;156,56;K100;;YCJ
384;1;Skultunavägen 9A: Kärltvätt Standard ;5;156,56;K100;;YCJ
385;1;Skultunavägen 9C: Kärltvätt Standard ;6;156,56;K100;;YCJ
386;1;Frödings väg 2-4: Kärltvätt Standard ;4;156,56;K100;;YCJ
387;1;Rudbecksgatan 6: Kärltvätt Standard ;3;156,56;K100;;YCJ
388;1;Tessingatan 6: Kärltvätt Standard ;3;156,56;K100;;YCJ
389;1;Langenbergsgatan 6: Kärltvätt Standard ;4;156,56;K100;;YCJ
390;1;Södra Allégatan 27: Kärltvätt Standard ;7;156,56;K100;;YCJ
391;1;Tulpangatan 2: Kärltvätt Standard ;1;156,56;K100;;YCJ
392;1;Bangatan 21: Kärltvätt Standard ;12;156,56;K100;;YCJ
393;1;Bangatan 39: Kärltvätt Standard ;12;156,56;K100;;YCJ
394;1;Bangatan 49: Kärltvätt Standard ;8;156,56;K100;;YCJ
395;1;Cedergatan 11: Kärltvätt Standard ;12;156,56;K100;;YCJ
396;1;Norra Floragatan 23 / Stora gatan 84: Kärltvätt Standard ;2;156,56;K100;;YCJ
397;1;Markörgatan 4: Kärltvätt Standard ;11;156,56;K100;;YCJ
398;1;Hästhovsgatan 27: Kärltvätt Standard ;8;156,56;K100;;YCJ
399;1;Kaserngatan 26: Kärltvätt Standard ;4;156,56;K100;;YCJ
400;1;Kaserngatan 22: Kärltvätt Standard ;4;156,56;K100;;YCJ
401;1;Kaserngatan 22-26: Kärltvätt Standard ;6;156,56;K100;;YCJ
402;1;Björskogsgatan 6A: Kärltvätt Standard ;1;156,56;K100;;YCJ
403;1;Norra Floragatan 24F: Kärltvätt Standard ;2;156,56;K100;;YCJ
